cluster,memberCount
ExpressionStatement-7-10,9
ExpressionStatement-8-17,9
ExpressionStatement-10-7,9
CatchClause-6-0,9
ExpressionStatement-8-52,9
IfStatement-11-0,9
ExpressionStatement-7-18,9
FieldDeclaration-8-6,9
ReturnStatement-6-6,9
ExpressionStatement-6-20,9
MethodDeclaration-17-0,9
VariableDeclarationStatement-8-32,9
VariableDeclarationStatement-6-3,9
IfStatement-7-4,9
IfStatement-2-5,9
IfStatement-7-20,9
ReturnStatement-7-4,9
ExpressionStatement-5-32,9
IfStatement-2-2,9
IfStatement-5-12,9
IfStatement-10-8,9
MethodDeclaration-5-2,9
ExpressionStatement-6-28,9
ExpressionStatement-5-35,9
ExpressionStatement-8-18,9
ReturnStatement-5-1,9
IfStatement-14-1,9
ExpressionStatement-6-7,9
VariableDeclarationStatement-8-19,9
MethodDeclaration-5-5,9
VariableDeclarationStatement-8-44,9
FieldDeclaration-6-5,8
EnhancedForStatement-5-0,8
IfStatement-8-11,8
IfStatement-6-28,8
SuperConstructorInvocation-2-0,8
VariableDeclarationStatement-9-6,8
MethodDeclaration-7-2,8
ExpressionStatement-10-0,8
IfStatement-6-7,8
ExpressionStatement-8-5,8
FieldDeclaration-13-0,8
VariableDeclarationStatement-6-15,8
ExpressionStatement-8-10,8
FieldDeclaration-9-2,8
ExpressionStatement-8-32,8
FieldDeclaration-5-9,8
ExpressionStatement-8-15,8
VariableDeclarationStatement-8-8,8
IfStatement-6-14,8
IfStatement-13-3,8
IfStatement-6-18,8
VariableDeclarationStatement-5-21,8
IfStatement-10-12,8
FieldDeclaration-13-6,8
ExpressionStatement-17-0,8
EnhancedForStatement-7-0,8
FieldDeclaration-2-3,8
ExpressionStatement-5-41,8
ExpressionStatement-3-6,8
IfStatement-4-7,8
IfStatement-4-6,8
ReturnStatement-7-0,8
MethodDeclaration-8-3,8
EnhancedForStatement-3-0,8
VariableDeclarationStatement-15-0,8
VariableDeclarationStatement-7-8,8
VariableDeclarationStatement-6-18,8
VariableDeclarationStatement-7-21,8
VariableDeclarationStatement-12-4,8
ThrowStatement-2-2,8
ReturnStatement-3-13,8
ThrowStatement-6-0,8
ExpressionStatement-10-1,8
ThrowStatement-6-1,8
VariableDeclarationStatement-4-4,8
MethodDeclaration-13-4,8
CatchClause-3-1,8
ExpressionStatement-7-30,8
FieldDeclaration-12-0,8
VariableDeclarationStatement-7-25,8
ExpressionStatement-8-54,8
ExpressionStatement-7-26,8
VariableDeclarationStatement-9-11,8
ExpressionStatement-6-13,8
MethodDeclaration-8-10,8
VariableDeclarationStatement-7-13,8
ExpressionStatement-7-28,8
VariableDeclarationStatement-7-18,8
VariableDeclarationStatement-4-9,8
ThrowStatement-5-1,8
ReturnStatement-4-6,8
ExpressionStatement-8-30,7
VariableDeclarationStatement-10-27,7
ExpressionStatement-11-5,7
ReturnStatement-3-5,7
ExpressionStatement-9-20,7
VariableDeclarationStatement-8-16,7
FieldDeclaration-10-8,7
VariableDeclarationStatement-9-23,7
ExpressionStatement-8-53,7
IfStatement-8-22,7
MethodDeclaration-10-0,7
ThrowStatement-5-5,7
VariableDeclarationStatement-10-21,7
MethodDeclaration-6-7,7
FieldDeclaration-5-5,7
TypeDeclaration-6-1,7
ExpressionStatement-6-33,7
IfStatement-3-9,7
IfStatement-6-17,7
ReturnStatement-6-2,7
ExpressionStatement-5-37,7
SuperConstructorInvocation-2-1,7
MethodDeclaration-4-2,7
MethodDeclaration-14-2,7
ExpressionStatement-7-31,7
MethodDeclaration-23-1,7
ReturnStatement-3-10,7
IfStatement-9-8,7
ExpressionStatement-5-48,7
IfStatement-4-10,7
IfStatement-6-21,7
MethodDeclaration-11-2,7
ThrowStatement-5-3,7
ExpressionStatement-6-54,7
FieldDeclaration-9-3,7
VariableDeclarationStatement-5-34,7
ExpressionStatement-5-45,7
VariableDeclarationStatement-7-32,7
VariableDeclarationStatement-7-35,7
ExpressionStatement-11-1,7
ReturnStatement-7-1,7
ExpressionStatement-6-23,7
ReturnStatement-5-8,7
FieldDeclaration-7-11,7
ReturnStatement-5-17,7
ExpressionStatement-9-19,7
IfStatement-8-20,7
MethodDeclaration-7-5,7
IfStatement-12-10,7
ExpressionStatement-10-26,7
ReturnStatement-4-15,7
ExpressionStatement-10-11,7
VariableDeclarationStatement-7-11,7
VariableDeclarationStatement-4-11,7
ReturnStatement-5-6,7
EnhancedForStatement-6-1,7
ExpressionStatement-4-18,7
VariableDeclarationStatement-6-7,7
VariableDeclarationStatement-12-9,7
VariableDeclarationStatement-3-5,7
IfStatement-11-12,7
VariableDeclarationStatement-3-8,7
FieldDeclaration-4-3,7
ExpressionStatement-10-12,7
MethodDeclaration-6-4,7
VariableDeclarationStatement-7-30,7
VariableDeclarationStatement-11-2,7
ExpressionStatement-7-42,7
TryStatement-6-0,7
ExpressionStatement-2-2,7
SynchronizedStatement-5-0,7
VariableDeclarationStatement-5-28,7
VariableDeclarationStatement-11-3,7
FieldDeclaration-13-2,7
ExpressionStatement-8-23,7
VariableDeclarationStatement-5-27,7
IfStatement-8-16,7
ExpressionStatement-7-33,7
ReturnStatement-5-21,6
ReturnStatement-5-14,6
ReturnStatement-6-3,6
MethodDeclaration-9-1,6
TypeDeclaration-3-4,6
ReturnStatement-9-0,6
TryStatement-5-0,6
ThrowStatement-6-2,6
ExpressionStatement-5-25,6
ReturnStatement-5-9,6
ReturnStatement-7-2,6
ReturnStatement-2-6,6
ExpressionStatement-6-21,6
ExpressionStatement-6-6,6
TryStatement-21-0,6
SynchronizedStatement-3-2,6
ReturnStatement-3-16,6
ReturnStatement-3-6,6
MethodDeclaration-8-9,6
MethodDeclaration-7-10,6
ReturnStatement-2-11,6
ThrowStatement-7-0,6
ExpressionStatement-6-31,6
MethodDeclaration-8-13,6
TypeDeclaration-4-2,6
MethodDeclaration-17-1,6
IfStatement-7-7,6
SwitchCase-3-0,6
MethodDeclaration-5-10,6
IfStatement-5-0,6
CatchClause-13-0,6
IfStatement-5-16,6
VariableDeclarationStatement-10-4,6
ExpressionStatement-8-28,6
IfStatement-8-18,6
ExpressionStatement-9-22,6
ExpressionStatement-8-22,6
IfStatement-6-19,6
VariableDeclarationStatement-19-1,6
IfStatement-6-16,6
FieldDeclaration-12-4,6
ExpressionStatement-7-39,6
IfStatement-6-33,6
IfStatement-8-6,6
VariableDeclarationStatement-8-18,6
IfStatement-14-7,6
ExpressionStatement-11-7,6
IfStatement-8-21,6
VariableDeclarationStatement-8-31,6
ExpressionStatement-7-41,6
ExpressionStatement-9-38,6
IfStatement-14-13,6
IfStatement-12-8,6
VariableDeclarationStatement-7-28,6
ExpressionStatement-7-36,6
ExpressionStatement-9-16,6
ExpressionStatement-4-22,6
ExpressionStatement-4-21,6
VariableDeclarationStatement-6-8,6
VariableDeclarationStatement-6-31,6
FieldDeclaration-4-10,6
ExpressionStatement-8-27,6
ExpressionStatement-9-4,6
IfStatement-13-1,6
VariableDeclarationStatement-6-23,6
VariableDeclarationStatement-6-4,6
FieldDeclaration-4-11,6
VariableDeclarationStatement-10-17,6
ExpressionStatement-8-51,6
IfStatement-13-2,6
VariableDeclarationStatement-7-31,6
IfStatement-6-5,6
VariableDeclarationStatement-10-11,6
VariableDeclarationStatement-7-43,6
VariableDeclarationStatement-10-29,6
VariableDeclarationStatement-7-26,6
IfStatement-6-13,6
IfStatement-6-15,6
VariableDeclarationStatement-8-41,6
IfStatement-8-30,6
ExpressionStatement-7-57,6
ExpressionStatement-5-42,6
IfStatement-7-8,6
VariableDeclarationStatement-5-42,6
IfStatement-9-4,6
ExpressionStatement-5-44,6
ExpressionStatement-7-13,6
FieldDeclaration-9-5,6
ExpressionStatement-5-38,6
ExpressionStatement-7-25,6
VariableDeclarationStatement-14-0,6
ExpressionStatement-5-65,6
ExpressionStatement-5-54,6
VariableDeclarationStatement-14-2,6
IfStatement-4-3,6
CatchClause-11-0,6
ThrowStatement-5-4,6
CatchClause-6-1,6
MethodDeclaration-53-0,6
ThrowStatement-5-6,6
IfStatement-9-18,6
IfStatement-15-3,6
FieldDeclaration-14-2,6
IfStatement-9-20,6
ExpressionStatement-6-50,6
IfStatement-11-9,6
ExpressionStatement-4-24,6
ExpressionStatement-10-16,6
IfStatement-8-14,6
ExpressionStatement-7-24,6
ExpressionStatement-8-48,6
VariableDeclarationStatement-9-31,6
FieldDeclaration-7-10,6
ExpressionStatement-8-36,6
VariableDeclarationStatement-4-13,6
IfStatement-7-16,6
IfStatement-3-8,6
IfStatement-7-11,6
VariableDeclarationStatement-3-11,6
VariableDeclarationStatement-3-10,6
FieldDeclaration-5-8,6
MethodDeclaration-12-4,6
VariableDeclarationStatement-12-5,6
MethodDeclaration-12-0,6
IfStatement-3-13,5
IfStatement-12-7,5
IfStatement-12-2,5
IfStatement-12-3,5
IfStatement-2-4,5
IfStatement-4-11,5
IfStatement-8-26,5
