cluster,memberCount
FieldDeclaration-6-0-3,2
ExpressionStatement-4-3-3,2
ThrowStatement-10-0-0,2
ExpressionStatement-3-0-6,2
TryStatement-8-0-1,2
ExpressionStatement-2-0-16,2
ExpressionStatement-15-3-0,2
TryStatement-25-0-0,2
ThrowStatement-7-5-0,2
ExpressionStatement-3-0-2,2
ExpressionStatement-2-0-17,2
FieldDeclaration-16-0-0,2
ThrowStatement-12-0-0,2
ExpressionStatement-3-0-5,2
ThrowStatement-2-0-3,2
ExpressionStatement-2-0-18,2
TryStatement-6-0-2,2
FieldDeclaration-18-0-0,2
ExpressionStatement-2-0-19,2
TryStatement-15-0-0,2
VariableDeclarationStatement-20-0-0,2
ExpressionStatement-17-3-0,2
SynchronizedStatement-12-0-0,2
ReturnStatement-10-5-0,2
ReturnStatement-8-9-0,2
ReturnStatement-23-0-0,2
ReturnStatement-4-2-4,2
ReturnStatement-12-2-0,2
ReturnStatement-2-0-8,2
ReturnStatement-13-1-0,2
ReturnStatement-5-15-2,2
ReturnStatement-14-0-0,2
ReturnStatement-22-0-0,2
SynchronizedStatement-9-0-0,2
SynchronizedStatement-7-0-0,2
SynchronizedStatement-6-3-0,2
IfStatement-20-2-0,2
IfStatement-21-1-0,2
IfStatement-18-10-0,2
IfStatement-27-1-0,2
IfStatement-11-0-0,2
IfStatement-11-0-1,2
IfStatement-11-0-2,2
IfStatement-7-5-4,2
IfStatement-7-5-3,2
IfStatement-29-0-0,2
IfStatement-16-1-0,2
IfStatement-74-0-0,2
IfStatement-6-0-3,2
IfStatement-6-0-2,2
IfStatement-28-1-0,2
ReturnStatement-11-2-0,2
ReturnStatement-9-3-0,2
TypeDeclaration-5-0-2,2
TypeDeclaration-6-0-1,2
VariableDeclarationStatement-9-34-0,2
VariableDeclarationStatement-11-0-3,2
VariableDeclarationStatement-7-0-10,2
VariableDeclarationStatement-16-8-0,2
VariableDeclarationStatement-17-0-0,2
VariableDeclarationStatement-8-11-4,2
VariableDeclarationStatement-8-11-3,2
VariableDeclarationStatement-8-11-2,2
VariableDeclarationStatement-4-0-9,2
VariableDeclarationStatement-3-0-2,2
VariableDeclarationStatement-5-2-9,2
VariableDeclarationStatement-5-2-6,2
VariableDeclarationStatement-5-2-8,2
SuperConstructorInvocation-6-0-0,2
SuperConstructorInvocation-4-0-0,2
SuperConstructorInvocation-2-0-1,2
CatchClause-29-0-0,2
CatchClause-17-1-0,2
CatchClause-10-1-0,2
CatchClause-19-0-0,2
CatchClause-24-0-0,2
CatchClause-4-0-0,2
CatchClause-12-0-0,2
CatchClause-2-0-0,2
CatchClause-5-1-0,2
CatchClause-14-0-0,2
TypeDeclaration-7-1-0,2
IfStatement-26-1-0,2
IfStatement-31-0-0,2
ExpressionStatement-6-2-8,2
MethodDeclaration-54-0-0,2
MethodDeclaration-56-0-0,2
MethodDeclaration-51-0-0,2
MethodDeclaration-33-0-0,2
MethodDeclaration-18-0-0,2
MethodDeclaration-27-1-0,2
MethodDeclaration-9-15-0,2
MethodDeclaration-11-1-1,2
MethodDeclaration-29-0-0,2
MethodDeclaration-42-0-0,2
MethodDeclaration-6-2-1,2
MethodDeclaration-19-2-0,2
MethodDeclaration-26-0-0,2
MethodDeclaration-21-0-0,2
MethodDeclaration-39-0-0,2
IfStatement-79-0-0,2
MethodDeclaration-90-0-0,2
MethodDeclaration-41-0-0,2
MethodDeclaration-24-0-0,2
MethodDeclaration-13-0-1,2
MethodDeclaration-14-0-1,2
MethodDeclaration-25-0-0,2
ExpressionStatement-35-0-0,2
ExpressionStatement-20-0-0,2
ExpressionStatement-18-0-0,2
ExpressionStatement-11-42-0,2
ExpressionStatement-16-4-0,2
ExpressionStatement-6-2-7,2
ExpressionStatement-6-2-6,2
MethodDeclaration-35-1-0,2
EnumDeclaration-2-0-0,2
EnumDeclaration-8-0-0,2
EnumDeclaration-11-0-0,2
IfStatement-24-0-0,2
IfStatement-23-1-0,2
IfStatement-5-3-3,2
IfStatement-5-3-2,2
IfStatement-22-1-0,2
IfStatement-25-0-0,2
ForStatement-16-0-0,2
ForStatement-80-0-0,2
ForStatement-19-0-0,2
ForStatement-8-0-0,2
ForStatement-24-0-0,2
ForStatement-4-0-0,2
ForStatement-13-0-0,2
WhileStatement-18-0-0,2
WhileStatement-7-0-0,2
WhileStatement-6-0-0,2
WhileStatement-17-0-0,2
WhileStatement-8-0-0,2
EnhancedForStatement-20-0-0,2
EnhancedForStatement-27-0-0,2
EnhancedForStatement-16-1-0,2
EnhancedForStatement-10-2-0,2
EnhancedForStatement-12-0-0,2
EnhancedForStatement-13-1-0,2
EnhancedForStatement-14-1-0,2
ConstructorInvocation-13-0-0,2
ConstructorInvocation-5-0-0,2
WhileStatement-2-0-0,2
